"record_id","atd_device_id","read_date","intersection_name","direction","movement","heavy_vehicle","volume","speed_average","speed_stddev","seconds_in_zone_average","seconds_in_zone_stddev","month","day","year","hour","minute","day_of_week","bin_duration"
"1f951a23cfcf1c29a5a524fb4af93ca9","6653","2024-07-08T23:45:00.000","38TH ST / MEDICAL PKWY","EASTBOUND","RIGHT TURN","true","1","8.0","0.0","1.6","0.0","7","8","2024","23","45","1","900"
"235c1259a7f847b8d26b5e7e33820126","6653","2024-07-08T23:45:00.000","38TH ST / MEDICAL PKWY","EASTBOUND","THRU","false","21","23.381","10.929","8.619","11.177","7","8","2024","23","45","1","900"
"7d3f7d7771941f58c9dfb2e0b730ac48","6653","2024-07-08T23:45:00.000","38TH ST / MEDICAL PKWY","EASTBOUND","THRU","true","5","17.2","12.578","14.1","11.876","7","8","2024","23","45","1","900"
"9d1cc038b090b3690facd5930797dc35","6653","2024-07-08T23:45:00.000","38TH ST / MEDICAL PKWY","NORTHBOUND","RIGHT TURN","false","1","10.0","0.0","8.2","0.0","7","8","2024","23","45","1","900"
"7d12c5b0074642d5f9cc088d40378c01","6653","2024-07-08T23:45:00.000","38TH ST / MEDICAL PKWY","WESTBOUND","THRU","false","16","24.5","13.565","6.156","8.269","7","8","2024","23","45","1","900"
"3d664c3ffbde0faae9b28e1eade78171","6653","2024-07-08T23:45:00.000","38TH ST / MEDICAL PKWY","WESTBOUND","THRU","true","14","28.0","11.252","5.207","10.207","7","8","2024","23","45","1","900"
"9b2927aba9e8cf419f79a16e7f015525","6882","2024-07-08T23:45:00.000","AIRPORT BLVD / 51ST ST","EASTBOUND","LEFT TURN","false","1","16.0","0.0","0.8","0.0","7","8","2024","23","45","1","900"
"df20bd1cc258bc7fecdffa7cdc1ae641","6882","2024-07-08T23:45:00.000","AIRPORT BLVD / 51ST ST","EASTBOUND","LEFT TURN","true","1","3.0","0.0","0.1","0.0","7","8","2024","23","45","1","900"
"19edde43119a31959d6b16cee5ea1277","6882","2024-07-08T23:45:00.000","AIRPORT BLVD / 51ST ST","EASTBOUND","RIGHT TURN","false","2","5.5","0.707","1.0","1.273","7","8","2024","23","45","1","900"
"bb425c840d65184a72cdd2b6bd54f874","6882","2024-07-08T23:45:00.000","AIRPORT BLVD / 51ST ST","EASTBOUND","RIGHT TURN","true","1","13.0","0.0","0.6","0.0","7","8","2024","23","45","1","900"
