dst,in_degree
438238,84208
401873,48205
184094,44290
768,44101
927,44067
184142,44041
184279,44037
184332,44034
33,44032
743,44022
210305,43908
210376,43878
272919,42828
68946,34943
68949,34943
95552,34943
68948,34943
86238,34943
66244,34943
86237,34943
77284,34943
95551,34943
96070,34943
86239,34943
68947,34943
66909,34943
601656,30744
319209,21177
571447,16696
571448,16696
571451,16686
570985,16682
284306,14738
299039,14732
299040,14092
313077,14028
451016,13734
316792,10971
623254,9157
623267,9078
477985,8526
477172,8508
479054,8508
481959,8508
627015,8465
623783,8430
613955,8430
273278,7598
280873,7595
417965,7500
